date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-04-17,243.47,244.34,237.68,241.37,241.37,82150841,82150841,-2.1,-0.86253,241.715,"April 17, 25",-0.0086253
2025-04-16,247.61,251.97,233.89,241.55,241.55,112378737,112378737,-6.06,-2.45,243.755,"April 16, 25",-0.0245
2025-04-15,249.91,258.75,247.54,254.11,254.11,79594318,79594318,4.2,1.68,252.5775,"April 15, 25",0.0168
2025-04-14,258.36,261.8,245.93,252.35,252.35,100135241,100135241,-6.01,-2.33,254.61,"April 14, 25",-0.0233
2025-04-11,251.84,257.74,241.36,252.31,252.31,128948100,128948100,0.47,0.18663,250.8125,"April 11, 25",0.0018663
2025-04-10,260.0,262.49,239.33,252.4,252.4,181722604,181722604,-7.6,-2.92,253.555,"April 10, 25",-0.0292
2025-04-09,224.69,274.69,223.88,272.2,272.2,219433400,219433400,47.51,21.14,248.865,"April 09, 25",0.2114
2025-04-08,245.0,250.44,217.8,221.86,221.86,171603500,171603500,-23.14,-9.44,233.775,"April 08, 25",-0.0944
2025-04-07,223.78,252.0,214.25,233.29,233.29,183453800,183453800,9.51,4.25,230.83,"April 07, 25",0.0425
2025-04-04,255.38,261.0,236.0,239.43,239.43,181229400,181229400,-15.95,-6.25,247.9525,"April 04, 25",-0.0625
2025-04-03,265.29,276.3,261.51,267.28,267.28,136174300,136174300,1.99,0.75012,267.595,"April 03, 25",0.0075012
2025-04-02,254.6,284.99,251.27,282.76,282.76,212787817,212787817,28.16,11.06,268.405,"April 02, 25",0.1106
2025-04-01,263.8,277.45,259.25,268.46,268.46,146486911,146486911,4.66,1.77,267.24,"April 01, 25",0.0177
2025-03-31,249.31,260.56,243.36,259.16,259.16,134008936,134008936,9.85,3.95,253.0975,"March 31, 25",0.0395
2025-03-28,275.58,276.1,260.57,263.55,263.55,123809400,123809400,-12.02,-4.37,268.95,"March 28, 25",-0.0437
2025-03-27,272.48,291.85,271.82,273.13,273.13,162572146,162572146,0.65,0.23855,277.32,"March 27, 25",0.0023855
2025-03-26,282.66,284.9,266.51,272.06,272.06,156254441,156254441,-10.6,-3.75,276.5325,"March 26, 25",-0.0375
2025-03-25,283.6,288.2,271.28,288.14,288.14,150361538,150361538,4.54,1.6,282.805,"March 25, 25",0.016
2025-03-24,258.08,278.64,256.33,278.39,278.39,169079900,169079900,20.31,7.87,267.86,"March 24, 25",0.0787
2025-03-21,234.99,249.52,234.55,248.71,248.71,132728700,132728700,13.72,5.84,241.9425,"March 21, 25",0.0584
2025-03-20,233.35,238.0,230.05,236.26,236.26,99028300,99028300,2.91,1.25,234.415,"March 20, 25",0.0125
2025-03-19,231.61,241.41,229.2,235.86,235.86,111993800,111993800,4.25,1.83,234.52,"March 19, 25",0.0183
2025-03-18,228.16,230.1,222.28,225.31,225.31,111477636,111477636,-2.84,-1.25,226.4625,"March 18, 25",-0.0125
2025-03-17,245.06,245.4,232.8,238.01,238.01,111900600,111900600,-7.05,-2.88,240.3175,"March 17, 25",-0.0288
2025-03-14,247.31,251.58,240.73,249.98,249.98,100242300,100242300,2.67,1.08,247.4,"March 14, 25",0.0108
2025-03-13,248.13,248.29,232.6,240.68,240.68,114813525,114813525,-7.44,-3.0,242.425,"March 13, 25",-0.03
2025-03-12,247.22,251.84,241.1,248.09,248.09,142215700,142215700,0.87,0.35191,247.0625,"March 12, 25",0.0035191
2025-03-11,225.31,237.06,217.02,230.58,230.58,174896415,174896415,5.28,2.34,227.4925,"March 11, 25",0.0234
2025-03-10,252.54,253.37,220.0,222.15,222.15,189076948,189076948,-30.38,-12.03,237.015,"March 10, 25",-0.1203
2025-03-07,259.32,266.25,250.73,262.67,262.67,102369640,102369640,3.35,1.29,259.7425,"March 07, 25",0.0129
2025-03-06,272.06,272.65,260.02,263.45,263.45,98451600,98451600,-8.61,-3.16,267.045,"March 06, 25",-0.0316
2025-03-05,272.92,279.55,267.71,279.1,279.1,94042913,94042913,6.18,2.26,274.82,"March 05, 25",0.0226
2025-03-04,270.93,284.35,261.84,272.04,272.04,126706623,126706623,1.11,0.4097,272.29,"March 04, 25",0.004097
2025-03-03,300.34,303.94,277.3,284.65,284.65,115551414,115551414,-15.69,-5.22,291.5575,"March 03, 25",-0.0522
2025-02-28,279.5,293.88,273.6,292.98,292.98,115697000,115697000,13.48,4.82,284.99,"February 28, 25",0.0482
2025-02-27,291.16,297.23,280.88,281.95,281.95,101748200,101748200,-9.21,-3.16,287.805,"February 27, 25",-0.0316
2025-02-26,303.71,309.0,288.04,290.8,290.8,100118300,100118300,-12.91,-4.25,297.8875,"February 26, 25",-0.0425
2025-02-25,327.02,328.89,297.25,302.8,302.8,134228800,134228800,-24.22,-7.41,313.99,"February 25, 25",-0.0741
2025-02-24,338.14,342.4,324.7,330.53,330.53,76052321,76052321,-7.61,-2.25,333.9425,"February 24, 25",-0.0225
2025-02-21,353.44,354.98,334.42,337.8,337.8,74058648,74058648,-15.64,-4.43,345.16,"February 21, 25",-0.0443
2025-02-20,361.51,362.3,348.0,354.4,354.4,45965400,45965400,-7.11,-1.97,356.5525,"February 20, 25",-0.0197
2025-02-19,354.0,367.34,353.67,360.56,360.56,67094400,67094400,6.56,1.85,358.8925,"February 19, 25",0.0185
2025-02-18,355.01,359.1,350.02,354.11,354.11,51631702,51631702,-0.9,-0.25351,354.56,"February 18, 25",-0.0025351
2025-02-14,360.62,362.0,347.5,355.84,355.84,68277300,68277300,-4.78,-1.33,356.49,"February 14, 25",-0.0133
2025-02-13,345.0,358.69,342.85,355.94,355.94,89441519,89441519,10.94,3.17,350.62,"February 13, 25",0.0317
2025-02-12,329.94,346.4,329.12,336.51,336.51,105382729,105382729,6.57,1.99,335.4925,"February 12, 25",0.0199
2025-02-11,345.8,349.37,325.1,328.5,328.5,118543400,118543400,-17.3,-5.0,337.1925,"February 11, 25",-0.05
2025-02-10,356.21,362.7,350.51,350.73,350.73,77514903,77514903,-5.48,-1.54,355.0375,"February 10, 25",-0.0154
2025-02-07,370.19,380.55,360.34,361.62,361.62,70298300,70298300,-8.57,-2.32,368.175,"February 07, 25",-0.0232
2025-02-06,373.03,375.4,363.18,374.32,374.32,77918230,77918230,1.29,0.34582,371.4825,"February 06, 25",0.0034582
2025-02-05,387.51,388.39,375.53,378.17,378.17,57614721,57614721,-9.34,-2.41,382.4,"February 05, 25",-0.0241
2025-02-04,382.63,394.0,381.4,392.21,392.21,57072235,57072235,9.58,2.5,387.56,"February 04, 25",0.025
2025-02-03,386.68,389.17,374.36,383.68,383.68,93732122,93732122,-3.0,-0.77584,383.4725,"February 03, 25",-0.0077584
2025-01-31,401.53,419.99,401.34,404.6,404.6,83568219,83568219,3.07,0.76458,406.865,"January 31, 25",0.0076458
2025-01-30,410.78,412.5,384.41,400.28,400.28,98092900,98092900,-10.5,-2.56,401.9925,"January 30, 25",-0.0256
2025-01-29,395.21,398.59,384.48,389.1,389.1,68033648,68033648,-6.11,-1.55,391.845,"January 29, 25",-0.0155
2025-01-28,396.91,400.59,386.5,398.09,398.09,48910700,48910700,1.18,0.2973,395.5225,"January 28, 25",0.002973
2025-01-27,394.8,406.69,389.0,397.15,397.15,58125510,58125510,2.35,0.59524,396.91,"January 27, 25",0.0059524
2025-01-24,414.45,418.88,405.78,406.58,406.58,56427149,56427149,-7.87,-1.9,411.4225,"January 24, 25",-0.019
2025-01-23,416.06,420.73,408.95,412.38,412.38,50690600,50690600,-3.68,-0.88449,414.53,"January 23, 25",-0.0088449
2025-01-22,416.81,428.0,414.59,415.11,415.11,60963342,60963342,-1.7,-0.40786,418.6275,"January 22, 25",-0.0040786
2025-01-21,432.64,433.2,406.31,424.07,424.07,87320900,87320900,-8.57,-1.98,424.055,"January 21, 25",-0.0198
2025-01-17,421.5,439.74,419.75,426.5,426.5,94991429,94991429,5.0,1.19,426.8725,"January 17, 25",0.0119
2025-01-16,423.49,424.0,409.13,413.82,413.82,68335200,68335200,-9.67,-2.28,417.61,"January 16, 25",-0.0228
2025-01-15,409.9,429.8,405.66,428.22,428.22,81375500,81375500,18.32,4.47,418.395,"January 15, 25",0.0447
2025-01-14,414.34,422.64,394.54,396.36,396.36,84565022,84565022,-17.98,-4.34,406.97,"January 14, 25",-0.0434
2025-01-13,383.21,403.79,380.07,403.31,403.31,67580500,67580500,20.1,5.25,392.595,"January 13, 25",0.0525
2025-01-10,391.4,399.28,377.29,394.74,394.74,62287333,62287333,3.34,0.85335,390.6775,"January 10, 25",0.0085335
2025-01-08,392.95,402.5,387.4,394.94,394.94,73038805,73038805,1.99,0.50643,394.4475,"January 08, 25",0.0050643
2025-01-07,405.83,414.33,390.0,394.36,394.36,75699525,75699525,-11.47,-2.83,401.13,"January 07, 25",-0.0283
2025-01-06,423.2,426.43,401.7,411.05,411.05,85516534,85516534,-12.15,-2.87,415.595,"January 06, 25",-0.0287
2025-01-03,381.48,411.88,379.45,410.44,410.44,95423329,95423329,28.96,7.59,395.8125,"January 03, 25",0.0759
2025-01-02,390.1,392.73,373.04,379.28,379.28,109710749,109710749,-10.82,-2.77,383.7875,"January 02, 25",-0.0277
2024-12-31,423.79,427.93,402.54,403.84,403.84,76825121,76825121,-19.95,-4.71,414.525,"December 31, 24",-0.0471
2024-12-30,419.4,427.0,415.75,417.41,417.41,64941012,64941012,-1.99,-0.47449,419.89,"December 30, 24",-0.0047449
2024-12-27,449.52,450.0,426.5,431.66,431.66,82666821,82666821,-17.86,-3.97,439.42,"December 27, 24",-0.0397
2024-12-26,465.16,465.33,451.02,454.13,454.13,76651210,76651210,-11.03,-2.37,458.91,"December 26, 24",-0.0237
2024-12-24,435.9,462.78,435.14,462.28,462.28,59551800,59551800,26.38,6.05,449.025,"December 24, 24",0.0605
2024-12-23,431.0,434.51,415.41,430.6,430.6,72698100,72698100,-0.4,-0.09280742,427.88,"December 23, 24",-0.0009280742
2024-12-20,425.51,447.08,417.64,421.06,421.06,132216200,132216200,-4.44,-1.05,427.8225,"December 20, 24",-0.0105
2024-12-19,451.88,456.36,420.02,436.17,436.17,118566146,118566146,-15.71,-3.48,441.1075,"December 19, 24",-0.0348
2024-12-18,466.5,488.54,427.01,440.13,440.13,149340800,149340800,-26.37,-5.65,455.545,"December 18, 24",-0.0565
2024-12-17,475.9,483.99,457.51,479.86,479.86,131223000,131223000,3.96,0.83211,474.315,"December 17, 24",0.0083211
2024-12-16,441.09,463.19,436.15,463.02,463.02,114083811,114083811,21.93,4.97,450.8625,"December 16, 24",0.0497
2024-12-13,420.0,436.3,415.71,436.23,436.23,89000200,89000200,16.23,3.86,427.06,"December 13, 24",0.0386
2024-12-12,424.84,429.3,415.0,418.1,418.1,87752225,87752225,-6.74,-1.59,421.81,"December 12, 24",-0.0159
2024-12-11,409.7,424.88,402.38,424.77,424.77,104287600,104287600,15.07,3.68,415.4325,"December 11, 24",0.0368
2024-12-10,392.68,409.73,390.85,400.99,400.99,97563600,97563600,8.31,2.12,398.5625,"December 10, 24",0.0212
2024-12-09,397.61,404.8,378.01,389.79,389.79,96359200,96359200,-7.82,-1.97,392.5525,"December 09, 24",-0.0197
2024-12-06,377.42,389.49,370.8,389.22,389.22,81455834,81455834,11.8,3.13,381.7325,"December 06, 24",0.0313
